Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV),Hepatic Total Glutathione (nmol/mg),Hepatic GSH (nmol/mg),Hepatic GSSG (nmol/mg),Hepatic GSH/GSSG,Hepatic Eh (mV)
266,35,M,8.757,8.011,0.373,21.481,-156.639,46.404,44.1,1.152,38.288,-187.385
267,35,M,13.033,11.972,0.531,22.556,-162.706,22.826,22.193,0.317,70.117,-186.285
268,35,M,12.485,12.246,0.119,102.708,-183.42,23.139,22.644,0.248,91.449,-190.132
269,35,M,16.655,16.162,0.247,65.552,-181.11,48.371,47.366,0.502,94.272,-200.477
270,35,M,11.175,10.59,0.292,36.208,-167.427,24.855,24.326,0.265,91.899,-191.163
271,35,M,21.801,21.234,0.284,74.815,-186.563,17.339,16.901,0.219,77.276,-183.927
272,35,M,11.607,10.853,0.377,28.773,-164.662,28.099,27.457,0.321,85.449,-191.813
273,35,M,10.969,10.329,0.32,32.282,-165.546,36.174,35.021,0.577,60.722,-190.49
274,35,M,28.621,27.355,0.633,43.229,-182.589,47.789,46.844,0.473,99.106,-201.001
275,35,M,12.223,11.845,0.189,62.671,-176.321,31.081,30.586,0.248,123.569,-198.232
276,35,M,24.198,23.697,0.25,94.784,-191.227,31.345,30.411,0.467,65.165,-189.54
277,35,M,12.993,11.952,0.52,22.974,-162.931,47.295,45.681,0.807,56.606,-193.122
278,35,M,8.076,7.677,0.2,38.477,-163.914,49.825,48.52,0.652,74.381,-197.611
