Mouse,Generation,Sex,Renal Total Glutathione (nmol/mg),Renal GSH (nmol/mg),Renal GSSG (nmol/mg),Renal GSH/GSSG,Renal Eh (mV),Hepatic NADPH (pmol/ug),Hepatic NADP (pmol/ug),Hepatic NADP/NADPH,Hepatic NADH (pmol/ug)
188,32,F,21.282,20.39,0.446,45.726,-179.389,0.197,0.767,3.888,5.028
189,32,F,21.576,21.116,0.23,91.85,-189.25,0.185,0.894,4.821,4.386
190,32,F,9.685,8.799,0.443,19.851,-156.841,0.25,0.814,3.249,6.133
191,32,F,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,32,F,12.538,11.249,0.645,17.443,-158.406,0.062,1.091,17.539,1.581
193,32,F,28.556,28.091,0.233,120.705,-196.771,0.241,0.813,3.372,2.442
194,32,F,17.577,17.041,0.268,63.583,-181.412,0.375,0.983,2.624,2.884
195,32,F,27.75,26.363,0.694,38.013,-180.36,0.249,1.867,7.489,3.163
196,32,F,24.296,23.369,0.464,50.408,-182.537,0.166,0.886,5.354,3.151
197,32,F,23.099,22.605,0.247,91.507,-190.117,0.074,0.661,8.925,3.362
198,32,F,18.995,18.291,0.352,52.007,-179.659,0.241,0.59,2.449,5.082
199,32,F,19.35,18.25,0.55,33.17,-173.574,0.138,0.457,3.309,3.61
200,32,F,24.507,23.646,0.431,54.919,-183.85,0.206,0.857,4.151,4.112
201,32,F,10.336,9.829,0.253,38.808,-167.357,0.213,0.982,4.62,7.572
202,32,F,17.099,16.718,0.19,87.965,-185.525,0.141,0.632,4.479,6.247
203,32,F,5.069,4.744,0.163,29.19,-153.714,0.089,0.982,10.998,4.983
204,32,F,11.997,11.35,0.323,35.092,-167.938,0.145,0.725,5.006,3.056
205,32,F,19.79,19.342,0.224,86.46,-187.255,0.082,0.446,5.424,3.215
206,32,F,19.339,18.534,0.402,46.088,-178.21,0.019,0.642,33.067,4.171
207,32,F,21.535,20.773,0.381,54.512,-182.006,0.131,0.401,3.053,5.633
208,32,F,24.322,23.483,0.42,55.928,-184.002,0.071,0.576,8.079,5.016
209,32,F,16.856,16.391,0.233,70.392,-182.258,0.078,0.929,11.898,3.163
210,32,F,25.7,25.407,0.146,173.517,-200.305,0.031,1.336,42.501,3.04
211,32,F,26.515,25.851,0.332,77.882,-189.753,0.029,1.234,42.094,2.951
212,32,F,23.354,22.468,0.443,50.752,-182.1,0.073,1.073,14.606,3.995
213,32,F,20.292,19.862,0.215,92.334,-188.496,0.301,1.113,3.694,4.639
214,32,F,6.16,5.602,0.279,20.077,-150.914,0.069,1.062,15.33,3.769
215,32,F,14.846,14.15,0.348,40.651,-172.886,0.081,0.82,10.089,2.659
216,32,F,8.917,8.174,0.372,22.001,-157.232,0.151,1.005,6.643,3.807
217,32,F,16.771,16.343,0.214,76.371,-183.316,0.202,0.999,4.955,4.582
218,32,F,23.903,22.969,0.467,49.184,-181.974,0.068,1.051,15.395,3.643
219,32,F,25.756,24.987,0.384,65.032,-186.868,0.202,0.997,4.943,3.591
220,32,F,21.171,20.556,0.307,66.873,-184.616,0.097,0.953,9.872,4.529
221,35,M,25.209,24.639,0.285,86.513,-190.522,0.254,0.928,3.655,1.365
222,35,M,15.791,15.234,0.279,54.692,-177.875,0.365,1.092,2.991,2.388
223,35,M,19.616,18.939,0.338,55.997,-181.123,0.405,1.048,2.588,1.872
224,35,M,8.155,7.836,0.159,49.154,-167.487,0.34,1.243,3.661,3.269
225,35,M,23.397,22.809,0.294,77.545,-188.009,0.111,1.221,10.987,2.223
226,35,M,15.488,14.538,0.475,30.584,-169.42,0.432,1.034,2.395,1.853
227,35,M,10.309,9.841,0.234,41.983,-168.431,0.508,0.92,1.811,3.367
228,35,M,9.692,9.459,0.117,81.134,-176.768,0.241,0.836,3.473,2.006
229,35,M,22.053,21.644,0.204,106.05,-191.518,0.262,0.936,3.574,0.983
230,35,M,19.408,18.153,0.628,28.927,-171.66,0.258,1.28,4.965,1.542
231,35,M,22.877,22.293,0.292,76.42,-187.505,0.358,0.796,2.222,1.459
232,35,M,13.883,13.133,0.375,35.005,-169.869,0.177,1.061,5.986,2.231
233,35,M,12.901,12.473,0.214,58.264,-176.034,0.22,0.946,4.295,2.062
234,35,M,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,35,M,14.47,13.932,0.269,51.841,-175.951,0.234,0.836,3.574,1.64
236,35,M,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,35,M,9.522,9.162,0.18,50.866,-170.053,0.206,1.043,5.069,1.055
238,35,M,32.095,31.181,0.457,68.239,-190.498,0.189,1.334,7.049,0.783
239,35,M,22.281,21.815,0.233,93.681,-189.955,0.088,0.881,9.967,1.046
240,35,M,9.614,9.206,0.204,45.192,-168.525,0.109,1.163,10.641,1.245
241,35,M,15.382,14.228,0.577,24.668,-166.236,0.44,0.957,2.176,0.658
242,35,M,17.292,16.818,0.237,70.883,-182.698,0.401,0.822,2.053,1.416
243,35,M,11.433,11.219,0.107,104.487,-182.471,0.288,0.61,2.12,1.547
244,35,M,12.691,12.041,0.325,37.034,-169.459,0.097,0.932,9.603,1.428
245,35,M,11.85,11.264,0.293,38.481,-169.077,0.055,1.072,19.564,1.368
246,35,M,21.332,20.634,0.349,59.129,-183.01,0.139,1.001,7.175,1.594
247,35,M,15.34,14.919,0.21,70.936,-181.095,0.294,1.243,4.236,0.959
248,35,M,11.148,10.786,0.181,59.696,-174.405,0.125,1.518,12.182,1.059
249,35,M,19.861,19.243,0.309,62.301,-182.774,0.25,1.523,6.081,1.429
250,35,M,7.839,7.297,0.271,26.954,-158.439,0.108,1.59,14.752,0.831
251,35,M,7.642,7.384,0.129,57.156,-168.717,0.162,1.169,7.194,3.241
252,35,M,12.726,12.049,0.338,35.621,-168.945,0.026,0.895,34.344,1.401
253,35,M,17.577,16.832,0.372,45.209,-176.654,0.226,1.241,5.48,2.584
254,35,M,23.709,22.891,0.409,56.022,-183.681,0.222,1.42,6.412,0.995
255,35,M,9.763,9.579,0.092,104.096,-180.294,0.228,0.471,2.07,3.816
256,35,M,7.875,7.26,0.308,23.601,-156.581,0.137,1.603,11.664,0.293
257,35,M,12.879,12.05,0.415,29.07,-166.209,0.473,0.506,1.071,1.219
258,35,M,11.145,10.789,0.178,60.718,-174.638,0.415,0.731,1.759,3.164
259,35,M,13.153,12.438,0.357,34.819,-169.066,0.388,0.546,1.407,3.99
260,35,M,15.684,15.253,0.215,70.815,-181.37,0.402,0.731,1.821,2.902
261,35,M,13.138,12.405,0.366,33.862,-168.655,0.282,0.881,3.127,1.302
262,35,M,14.647,13.76,0.443,31.036,-168.877,0.267,0.732,2.746,2.758
263,35,M,18.807,18.291,0.258,70.921,-183.835,0.295,0.6,2.037,2.064
264,35,M,11.097,10.745,0.176,61.047,-174.655,0.152,0.713,4.691,2.544
265,35,M,18.552,18.126,0.213,85.025,-186.155,0.419,0.675,1.61,2.626
266,35,M,8.757,8.011,0.373,21.481,-156.639,0.231,1.044,4.511,1.869
267,35,M,13.033,11.972,0.531,22.556,-162.706,0.379,0.712,1.878,2.874
268,35,M,12.485,12.246,0.119,102.708,-183.42,0.242,0.797,3.292,1.429
269,35,M,16.655,16.162,0.247,65.552,-181.11,0.35,0.68,1.944,1.507
270,35,M,11.175,10.59,0.292,36.208,-167.427,0.412,0.752,1.828,2.233
271,35,M,21.801,21.234,0.284,74.815,-186.563,0.24,0.843,3.508,2.344
272,35,M,11.607,10.853,0.377,28.773,-164.662,0.295,0.822,2.79,3.243
273,35,M,10.969,10.329,0.32,32.282,-165.546,0.286,1.192,4.166,2.835
274,35,M,28.621,27.355,0.633,43.229,-182.589,0.144,0.749,5.188,1.517
275,35,M,12.223,11.845,0.189,62.671,-176.321,0.454,1.135,2.497,2.045
276,35,M,24.198,23.697,0.25,94.784,-191.227,0.236,0.81,3.435,1.967
277,35,M,12.993,11.952,0.52,22.974,-162.931,0.367,0.537,1.463,2.919
278,35,M,8.076,7.677,0.2,38.477,-163.914,0.573,0.491,0.857,1.83
279,35,M,29.359,27.077,1.141,23.734,-174.379,0.302,0.89,2.945,2.006
280,35,M,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,35,M,18.751,18.239,0.256,71.305,-183.87,0.229,0.864,3.766,1.028
282,35,M,18.909,18.393,0.258,71.234,-183.969,0.253,0.534,2.112,2.856
283,35,M,26.939,25.449,0.745,34.149,-178.442,0.52,0.693,1.332,3.926
284,35,M,6.729,6.234,0.248,25.188,-155.407,0.224,0.715,3.19,3.249
285,35,M,8.527,8.241,0.143,57.655,-170.313,0.237,0.543,2.29,2.123
286,35,M,14.153,13.603,0.275,49.381,-174.975,0.223,0.727,3.263,3.118
287,35,M,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,35,M,14.612,14.017,0.298,47.108,-174.745,0.206,0.574,2.788,1.472
289,35,M,24.387,24.11,0.139,173.867,-199.627,0.481,0.502,1.043,5.23
290,35,M,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,35,M,7.571,7.123,0.224,31.758,-160.322,0.368,1.081,2.94,2.278
292,35,M,10.005,9.574,0.215,44.471,-168.837,0.233,0.444,1.909,2.851
293,35,M,11.585,11.001,0.292,37.673,-168.474,0.327,0.573,1.751,2.383
294,35,M,9.136,8.716,0.21,41.544,-166.656,0.558,0.433,0.777,4.598
295,35,M,18.539,18.191,0.174,104.524,-188.983,0.277,0.445,1.603,3.301
296,35,F,10.941,9.159,0.891,10.28,-148.522,0.021,1.793,85.968,3.11
297,35,F,11.474,11.032,0.221,50.007,-172.324,0.262,1.401,5.348,3.482
298,35,F,10.412,9.826,0.293,33.505,-165.373,NA,1.893,NA,1.567
299,35,F,32.619,31.609,0.505,62.579,-189.515,0.076,1.173,15.389,3.397
300,35,F,33.053,32.061,0.496,64.609,-190.136,0.141,0.997,7.058,1.876
