Mouse,Generation,Sex,Total Glutathione (nmol/mg),GSH (nmol/mg),GSSG (nmol/mg),GSH/GSSG,Eh (mV),NADPH (pmol/ug),NADP (pmol/ug),NADP/NADPH,NADH (pmol/ug),Liver Weight (g)
191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,32,F,51.646,51.069,0.288,177.181,-209.986,0.062,1.091,17.539,1.581,1.572
193,32,F,49.565,48.404,0.58,83.435,-199.125,0.241,0.813,3.372,2.442,1.065
194,32,F,47.565,46.726,0.42,111.349,-202.535,0.375,0.983,2.624,2.884,2.293
195,32,F,35.559,34.508,0.525,65.682,-191.348,0.249,1.867,7.489,3.163,1.299
196,32,F,66.9,65.85,0.525,125.492,-208.764,0.166,0.886,5.354,3.151,1.65
197,32,F,44.14,43.049,0.546,78.871,-196.789,0.074,0.661,8.925,3.362,1.348
198,32,F,55.449,53.834,0.808,66.641,-197.531,0.241,0.59,2.449,5.082,1.343
199,32,F,51.641,50.428,0.606,83.156,-199.631,0.138,0.457,3.309,3.61,1.487
200,32,F,56.342,54.852,0.745,73.668,-199.133,0.206,0.857,4.151,4.112,1.002
201,32,F,36.04,35.503,0.268,132.278,-201.156,0.213,0.982,4.62,7.572,0.998
202,32,F,61.968,60.38,0.794,76.028,-200.85,0.141,0.632,4.479,6.247,1.357
203,32,F,36.928,36.232,0.348,104.078,-198.202,0.089,0.982,10.998,4.983,1.367
204,32,F,57.724,55.042,1.341,41.043,-191.304,0.145,0.725,5.006,3.056,1.757
205,32,F,37.233,36.084,0.575,62.786,-191.343,0.082,0.446,5.424,3.215,1.225
206,32,F,54.884,53.802,0.541,99.446,-202.912,0.019,0.642,33.067,4.171,1.001
207,32,F,32.618,31.572,0.523,60.35,-189.011,0.131,0.401,3.053,5.633,1.737
208,32,F,56.486,55.098,0.694,79.4,-200.202,0.071,0.576,8.079,5.016,1.65
209,32,F,64.977,64.002,0.488,131.285,-208.989,0.078,0.929,11.898,3.163,1.884
210,32,F,56.898,55.141,0.878,62.782,-197.051,0.031,1.336,42.501,3.04,0.935
211,32,F,98.301,96.583,0.859,112.411,-212.439,0.029,1.234,42.094,2.951,1.062
212,32,F,63.838,61.955,0.942,65.78,-199.247,0.073,1.073,14.606,3.995,1.109
213,32,F,69.329,67.464,0.933,72.347,-201.675,0.301,1.113,3.694,4.639,1.563
214,32,F,40.451,39.903,0.274,145.509,-204.013,0.069,1.062,15.33,3.769,1.302
215,32,F,61.523,59.79,0.866,69.012,-199.414,0.081,0.82,10.089,2.659,1.391
216,32,F,59.272,57.831,0.72,80.296,-201.004,0.151,1.005,6.643,3.807,1.995
217,32,F,44.637,43.658,0.49,89.139,-198.626,0.202,0.999,4.955,4.582,1.188
218,32,F,45.301,44.523,0.389,114.409,-202.25,0.068,1.051,15.395,3.643,1.167
219,32,F,54.951,53.59,0.681,78.745,-199.716,0.202,0.997,4.943,3.591,1.1
220,32,F,50.382,49.146,0.618,79.498,-198.679,0.097,0.953,9.872,4.529,1.49
221,35,M,23.301,22.848,0.226,101.011,-191.592,0.254,0.928,3.655,1.365,1.595
222,35,M,34.498,33.624,0.437,76.926,-193.126,0.365,1.092,2.991,2.388,2.129
223,35,M,35.175,34.073,0.551,61.836,-190.365,0.405,1.048,2.588,1.872,1.625
224,35,M,56.621,55.034,0.794,69.333,-198.361,0.34,1.243,3.661,3.269,2.025
225,35,M,42.575,41.679,0.448,93.065,-198.582,0.111,1.221,10.987,2.223,1.348
226,35,M,30.343,29.607,0.368,80.415,-192.011,0.432,1.034,2.395,1.853,1.245
227,35,M,32.581,31.405,0.588,53.406,-187.294,0.508,0.92,1.811,3.367,2.379
