Mouse,Generation,Sex,NADH (pmol/ug),NADP (pmol/ug),NADPH (pmol/ug),NADP/NADPH,Liver Weight (g),GSH (nmol/mg),GSSG (nmol/mg),Total Glutathione (nmol/mg),GSH/GSSG,Eh (mV)
228,35,M,2.006,0.836,0.241,3.473,2.25,51.874,0.648,53.169,80.106,-199.509
229,35,M,0.983,0.936,0.262,3.574,2.038,19.938,0.357,20.651,55.922,-181.797
230,35,M,1.542,1.28,0.258,4.965,1.829,46.674,0.588,47.851,79.32,-197.954
231,35,M,1.459,0.796,0.358,2.222,1.994,29.083,0.343,29.769,84.761,-192.479
232,35,M,2.231,1.061,0.177,5.986,2.127,22.039,0.431,22.901,51.102,-181.932
233,35,M,2.062,0.946,0.22,4.295,3.72,48.495,0.543,49.581,89.308,-200.066
234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,35,M,1.64,0.836,0.234,3.574,2.321,45.903,0.666,47.235,68.935,-195.841
236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,35,M,1.055,1.043,0.206,5.069,1.736,46.832,0.63,48.091,74.378,-197.133
238,35,M,0.783,1.334,0.189,7.049,1.864,28.389,0.283,28.954,100.396,-194.433
239,35,M,1.046,0.881,0.088,9.967,1.691,40.083,0.491,41.066,81.582,-196.283
240,35,M,1.245,1.163,0.109,10.641,2.002,42.521,0.719,43.959,59.148,-192.749
241,35,M,0.658,0.957,0.44,2.176,1.514,32.713,0.581,33.876,56.269,-188.547
242,35,M,1.416,0.822,0.401,2.053,2.208,13.477,0.153,13.784,87.819,-182.601
243,35,M,1.547,0.61,0.288,2.12,3.415,23.411,0.309,24.029,75.797,-188.053
244,35,M,1.428,0.932,0.097,9.603,2.661,26.854,0.352,27.557,76.342,-189.997
245,35,M,1.368,1.072,0.055,19.564,2.083,42.735,0.619,43.974,68.999,-194.89
246,35,M,1.594,1.001,0.139,7.175,1.949,31.367,0.389,32.146,80.531,-192.807
247,35,M,0.959,1.243,0.294,4.236,1.951,34.295,0.483,35.261,71.009,-192.315
248,35,M,1.059,1.518,0.125,12.182,2.713,37.326,0.5,38.327,74.616,-194.122
